City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,ad dawadimi,24.5077,44.3924,291.79,22,0,3.46,SA,1702146211
309,khost,33.3395,69.9204,283.14,28,4,1.75,AF,1702146211
310,kirensk,57.7853,108.1119,235.35,99,96,0.89,RU,1702146211
311,guarapari,-20.6667,-40.4975,297.53,91,97,6.7,BR,1702146211
312,gavrilov posad,56.5597,40.1175,256.76,94,98,5.4,RU,1702146211
313,melilla,35.2937,-2.9383,291.36,59,0,3.09,ES,1702146211
314,hermanus,-34.4187,19.2345,290.63,75,25,6.08,ZA,1702146212
315,port lincoln,-34.7333,135.8667,287.08,78,100,9.73,AU,1702146212
316,happy valley-goose bay,53.3168,-60.3315,269.32,54,20,6.17,CA,1702146212
317,yakeshi,49.2833,120.7333,236.12,100,81,1.81,CN,1702146212
318,kruisfontein,-34.0033,24.7314,286.97,92,100,0.91,ZA,1702146213
319,narrabri,-30.3167,149.7833,300.11,57,2,2.24,AU,1702146213
320,kansk,56.2017,95.7175,241.11,100,92,0.5,RU,1702146213
321,nieuw amsterdam,5.8833,-55.0833,300.64,76,52,4.41,SR,1702146213
322,souillac,-20.5167,57.5167,299.36,89,40,2.57,MU,1702146213
323,greymouth,-42.4667,171.2,287.29,96,100,5.84,NZ,1702146213
324,torit,4.4133,32.5678,303.92,34,99,0.54,SS,1702146214
325,paros,37.0833,25.15,286.65,70,100,9.99,GR,1702146214
326,mol,51.192,5.1145,284.7,90,100,6.83,BE,1702146214
327,taroa,8.7058,171.2275,300.82,79,100,8.27,MH,1702146214
328,banapur,19.7833,85.1833,295.58,73,40,1.56,IN,1702146215
329,ulanhot,46.0833,122.0833,253.76,62,0,4.64,CN,1702146215
330,klaksvik,62.2266,-6.589,278.66,72,100,12.26,FO,1702146215
331,eyl,7.9803,49.8164,298.85,78,66,9.0,SO,1702146215
332,salinopolis,-0.6136,-47.3561,302.67,70,98,5.12,BR,1702146215
333,saint-pierre,-21.3393,55.4781,298.97,83,40,2.06,RE,1702146215
334,gadzhiyevo,69.2551,33.3362,260.63,86,87,8.43,RU,1702146216
